P0, 78.85, 331
P1, 100.71, 264
P2, 104.96, 428
P3, 42.32, 252
P4, 114.65, 172
P5, 100.11, 15
P6, 59.08, 25
P7, 10.10, 94
P8, 64.77, 471
P9, 73.20, 201
P10, 101.63, 17
P11, 104.55, 361
P12, 88.68, 150
P13, 92.86, 308
P14, 87.95, 13
P15, 115.12, 456
P16, 53.71, 154
P17, 16.36, 497
P18, 41.39, 180
P19, 69.99, 32
P20, 27.92, 295
P21, 94.62, 101
P22, 70.99, 69
P23, 45.38, 403
P24, 44.78, 453
P25, 54.69, 370
P26, 115.64, 488
P27, 36.11, 275
P28, 26.41, 536
P29, 37.93, 423
P30, 18.81, 404
P31, 38.66, 167
P32, 76.83, 435
P33, 101.40, 521
P34, 71.42, 442
P35, 49.00, 232
P36, 17.80, 305
P37, 45.97, 121
P38, 67.34, 352
P39, 92.08, 269
P40, 102.20, 114
P41, 19.44, 340
P42, 37.22, 253
P43, 118.36, 78
P44, 110.81, 498
P45, 109.11, 4
P46, 92.56, 428
P47, 71.67, 20
P48, 41.04, 205
P49, 27.38, 315
P50, 88.95, 309
P51, 43.70, 408
P52, 42.21, 45
P53, 47.19, 184
P54, 104.58, 232
P55, 54.87, 360
P56, 111.83, 453
P57, 108.54, 446
P58, 69.19, 444
P59, 70.46, 143
P60, 38.77, 56
P61, 33.31, 218
P62, 46.60, 422
P63, 49.72, 38
P64, 77.58, 148
P65, 59.25, 456
P66, 118.95, 34
P67, 28.80, 276
P68, 113.59, 361
P69, 85.63, 177
P70, 4.69, 148
P71, 93.18, 136
P72, 73.53, 432
P73, 22.45, 206
P74, 11.92, 401
P75, 44.86, 14
P76, 84.59, 90
P77, 58.35, 526
P78, 90.62, 262
P79, 70.93, 416
P80, 41.64, 110
P81, 45.38, 376
P82, 7.73, 166
P83, 35.65, 257
P84, 104.56, 432
P85, 113.03, 65
P86, 96.40, 186
P87, 78.45, 37
P88, 75.84, 189
P89, 65.09, 148
P90, 68.34, 40
P91, 10.97, 479
P92, 17.51, 205
P93, 82.01, 142
P94, 86.81, 436
P95, 48.91, 429
P96, 37.58, 269
P97, 75.30, 277
P98, 63.16, 403
P99, 95.93, 426
P100, 60.87, 403
P101, 97.79, 467
P102, 2.74, 266
P103, 78.19, 195
P104, 97.44, 119
P105, 57.98, 334
P106, 86.45, 415
P107, 83.42, 110
P108, 49.81, 343
P109, 53.36, 404
P110, 26.22, 268
P111, 51.64, 45
P112, 8.45, 449
P113, 72.99, 232
P114, 52.58, 41
P115, 24.39, 206
P116, 102.45, 373
P117, 20.32, 17
P118, 91.39, 332
P119, 10.77, 445
P120, 16.53, 260
P121, 30.12, 319
P122, 7.88, 60
P123, 14.97, 88
P124, 60.64, 234
P125, 100.54, 431
P126, 85.87, 64
P127, 80.38, 470
P128, 40.54, 24
P129, 45.25, 23
P130, 84.61, 262
P131, 7.75, 467
P132, 23.35, 511
P133, 25.02, 435
P134, 71.48, 465
P135, 76.82, 104
P136, 87.62, 242
P137, 2.77, 351
P138, 82.74, 313
P139, 9.83, 370
P140, 7.77, 469
P141, 89.68, 81
P142, 54.36, 403
P143, 7.32, 524
P144, 49.87, 537
P145, 54.49, 162
P146, 23.19, 340
P147, 49.27, 56
P148, 32.81, 239
P149, 113.66, 114
P150, 103.84, 85
P151, 12.72, 83
P152, 17.07, 429
P153, 82.83, 466
P154, 9.62, 178
P155, 37.53, 420
P156, 49.77, 477
P157, 62.38, 182
P158, 17.16, 507
P159, 100.92, 224
P160, 77.80, 536
P161, 37.14, 439
P162, 80.37, 479
P163, 50.63, 442
P164, 56.99, 338
P165, 72.88, 507
P166, 50.96, 45
P167, 113.26, 334
P168, 72.47, 308
P169, 54.98, 361
P170, 15.08, 7
P171, 57.91, 146
P172, 49.46, 454
P173, 32.28, 245
P174, 67.42, 196
P175, 69.95, 463
P176, 31.28, 35
P177, 79.43, 70
P178, 34.20, 427
P179, 12.57, 127
P180, 30.20, 17
P181, 61.60, 41
P182, 56.85, 525
P183, 11.33, 394
P184, 76.52, 299
P185, 99.37, 233
P186, 60.94, 76
P187, 76.92, 411
P188, 87.85, 314
P189, 82.44, 379
P190, 49.61, 143
P191, 60.36, 466
P192, 86.97, 421
P193, 101.14, 153
P194, 19.84, 40
P195, 14.96, 334
P196, 42.53, 199
P197, 109.09, 396
P198, 103.48, 77
P199, 32.07, 166
P200, 80.92, 200
P201, 54.73, 11
P202, 31.90, 343
P203, 26.43, 512
P204, 49.91, 235
P205, 25.41, 407
P206, 90.10, 67
P207, 101.75, 423
P208, 40.82, 264
P209, 80.28, 474
P210, 4.35, 5
P211, 31.12, 186
P212, 46.02, 270
P213, 58.96, 253
P214, 48.73, 314
P215, 62.85, 87
P216, 59.77, 294
P217, 64.65, 160
P218, 112.32, 410
P219, 85.69, 479
P220, 13.50, 57
P221, 53.60, 87
P222, 107.15, 47
P223, 72.04, 215
P224, 59.20, 314
